obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
187,0.02377,0.02375,15877.655379640002,1980.8907731599995,0.023699,0.023814,2016-06-11 09:22:55,71.26,2.772,211000.0
188,0.02377,0.02375,15878.000179640001,1976.4345705899996,0.023705,0.023813,2016-06-11 09:23:03,71.419,135.513,211000.0
189,0.02377,0.02375,15877.183669650001,1976.4345705899996,0.023705,0.023786,2016-06-11 09:23:11,71.419,135.263,211000.0
190,0.02377,0.02375,15837.183669650001,1978.9615317799996,0.023706,0.023812,2016-06-11 09:23:19,33.806,135.263,211000.0
191,0.02377,0.02375,15877.183669650001,1978.9615317799996,0.023716,0.023812,2016-06-11 09:23:27,71.874,156.66,211000.0
192,0.02377,0.02375,15877.183669650001,1976.4345705899996,0.023717,0.023812,2016-06-11 09:23:35,28.44,156.66,211000.0
193,0.02377,0.02375,15877.183669650001,1976.4345705899996,0.023723,0.023812,2016-06-11 09:23:43,32.465,156.66,211000.0
194,0.02377,0.02375,15836.520743850002,1976.4345705899996,0.023728,0.023811,2016-06-11 09:23:51,71.416,66.37,211000.0
195,0.02377,0.02375,15876.520743850002,1976.4345705899996,0.023729,0.02381,2016-06-11 09:24:00,33.746,198.589,211000.0
196,0.02377,0.02375,15876.520743850002,1976.4345705899996,0.023734,0.023809,2016-06-11 09:24:08,71.475,3.19,211000.0
197,0.02377,0.02375,15682.54580384,1976.4345705899996,0.023677,0.023789,2016-06-11 09:24:16,71.516,135.263,211000.0
198,0.02377,0.02375,15877.83311384,1976.4345705899996,0.023677,0.023804,2016-06-11 09:24:25,71.516,198.589,211000.0
199,0.02377,0.02375,15877.718542740002,1976.4345705899996,0.023683,0.023802,2016-06-11 09:24:32,71.845,135.263,211000.0
200,0.02377,0.02375,15877.718542740002,1976.4345705899996,0.023683,0.023758,2016-06-11 09:24:40,71.845,21.392,211000.0
201,0.02377,0.02375,15877.718542740002,1976.4345705899996,0.023689,0.023758,2016-06-11 09:24:48,71.807,21.392,211000.0
202,0.02377,0.02375,15877.718542740002,1976.4345705899996,0.023689,0.023758,2016-06-11 09:24:56,71.807,21.392,211000.0
203,0.02377,0.02375,15877.718542740002,1976.4345705899996,0.023695,0.023758,2016-06-11 09:25:04,71.595,21.392,211000.0
204,0.02377,0.02375,15732.93123274,1976.9991881999995,0.023695,0.023758,2016-06-11 09:25:11,71.595,21.392,211000.0
205,0.02377,0.02375,15877.718542740002,1976.9991881999995,0.023706,0.023758,2016-06-11 09:25:35,71.95,21.392,211000.0
206,0.02377,0.02375,15824.266054180001,1953.2905267099998,0.023706,0.023758,2016-06-11 09:25:43,71.95,21.392,211000.0
207,0.02377,0.02375,15839.766054180001,1986.2905267099995,0.023712,0.023758,2016-06-11 09:25:52,71.838,21.392,211000.0
208,0.02377,0.02375,15859.876307100001,1986.2905267099995,0.023712,0.023758,2016-06-11 09:26:00,71.838,21.392,211000.0
